model,draw,method,n_per_type,top_share,top_type,deepest_type,rho_depth_share,share_pDC,argmax_agree_all,argmax_agree_informative
enhancer,1,pseudobulk_cpm,112,0.1601831815208092,pDC,pDC,0.023809523809523815,0.1601831815208092,0.3162385485899048,0.6378600823045267
enhancer,1,depth_matched,112,0.18690554073775853,pDC,pDC,0.3333333333333334,0.18690554073775853,0.31830429315609843,0.6353909465020576
enhancer,1,cpm_mean,112,0.1600825323335514,pDC,pDC,0.04761904761904763,0.1600825323335514,0.2968385126639123,0.5958847736625514
enhancer,1,archr_style,112,0.19304514116048513,pDC,pDC,0.3333333333333334,0.19304514116048513,0.3164181785521825,0.6395061728395062
enhancer,2,raw_mean,112,0.4230788586382165,pDC,pDC,0.8333333333333335,0.4230788586382165,0.3129153942877672,0.6106995884773663
enhancer,2,zscale_mean,112,0.42282723567007197,pDC,pDC,0.8333333333333335,0.42282723567007197,0.3125561343632118,0.6123456790123457
enhancer,2,lognorm_mean,112,0.20633083387851642,pDC,pDC,0.30952380952380953,0.20633083387851642,0.3242320819112628,0.642798353909465
enhancer,2,pseudobulk_cpm,112,0.1615922701424186,pDC,pDC,0.19047619047619052,0.1615922701424186,0.31983114783545896,0.6222222222222222
enhancer,2,depth_matched,112,0.19933571536409844,pDC,pDC,0.3571428571428572,0.19933571536409844,0.32243578228848574,0.6296296296296297
enhancer,2,cpm_mean,112,0.1615922701424186,pDC,pDC,0.19047619047619052,0.1615922701424186,0.29800610741871747,0.5967078189300411
enhancer,2,archr_style,112,0.20633083387851642,pDC,pDC,0.30952380952380953,0.20633083387851642,0.3242320819112628,0.642798353909465
enhancer,3,raw_mean,112,0.4003824669115797,pDC,pDC,0.7619047619047621,0.4003824669115797,0.31453206394826655,0.6123456790123457
enhancer,3,zscale_mean,112,0.4043581098082633,pDC,pDC,0.7619047619047621,0.4043581098082633,0.31516076881623856,0.6131687242798354
enhancer,3,lognorm_mean,112,0.1975240299934578,pDC,pDC,-0.09523809523809526,0.1975240299934578,0.32037003772229206,0.6296296296296297
enhancer,3,pseudobulk_cpm,112,0.1562578632177545,pDC,pDC,0.19047619047619052,0.1562578632177545,0.31848392311837614,0.6337448559670782
enhancer,3,depth_matched,112,0.18886819988928588,pDC,pDC,0.4047619047619048,0.18886819988928588,0.32270522723190226,0.6411522633744856
enhancer,3,cpm_mean,112,0.1600825323335514,pDC,pDC,0.11904761904761905,0.1600825323335514,0.2977366624753009,0.5958847736625514
enhancer,3,archr_style,112,0.1974737053998289,pDC,pDC,-0.09523809523809526,0.1974737053998289,0.32037003772229206,0.6296296296296297
enhancer,4,raw_mean,112,0.4441648633687283,pDC,pDC,0.8095238095238096,0.4441648633687283,0.33581821447817495,0.6271604938271605
enhancer,4,zscale_mean,112,0.4495999194806502,pDC,pDC,0.8095238095238096,0.4495999194806502,0.3370756242141189,0.6329218106995885
enhancer,4,lognorm_mean,112,0.20316038447989532,pDC,pDC,0.3571428571428572,0.20316038447989532,0.3166876234955991,0.6189300411522634
enhancer,4,pseudobulk_cpm,112,0.15424487947259827,pDC,pDC,0.04761904761904763,0.15424487947259827,0.31704688342015447,0.6222222222222222
enhancer,4,depth_matched,112,0.1965175381208797,pDC,pDC,0.4761904761904762,0.1965175381208797,0.32333393209987427,0.6353909465020576
enhancer,4,cpm_mean,112,0.15897539127371546,pDC,pDC,0.3333333333333334,0.15897539127371546,0.2926172085503862,0.5818930041152264
enhancer,4,archr_style,112,0.20305973529263752,pDC,pDC,0.3571428571428572,0.20305973529263752,0.3166876234955991,0.6189300411522634
enhancer,5,raw_mean,112,0.443259020683408,pDC,pDC,0.8095238095238096,0.443259020683408,0.32944135081731635,0.6436213991769547
enhancer,5,zscale_mean,112,0.44617784711388453,pDC,pDC,0.8095238095238096,0.44617784711388453,0.32998024070414944,0.6469135802469136
enhancer,5,lognorm_mean,112,0.1991344169895828,pDC,pDC,0.09523809523809526,0.1991344169895828,0.3150709538350997,0.6395061728395062
enhancer,5,pseudobulk_cpm,112,0.1553520205324342,pDC,pDC,0.19047619047619052,0.1553520205324342,0.31498113885396084,0.6205761316872428
enhancer,5,depth_matched,112,0.1936993608776609,pDC,pDC,0.28571428571428575,0.1936993608776609,0.3176755882881265,0.6353909465020576
enhancer,5,cpm_mean,112,0.15706305671581702,pDC,pDC,0.2380952380952381,0.15706305671581702,0.29019220405963714,0.5851851851851851
enhancer,5,archr_style,112,0.19903376780232498,pDC,pDC,0.09523809523809526,0.19903376780232498,0.3150709538350997,0.6395061728395062
