cohort,mixture_variant,geneset,method,truth,rmse_mean,rmse_sd,r_mean,r_sd,bias_deepest_mean,bias_deepest_sd,deepest_type,n_genes_mean,n_degenerate
HCC,cellnorm,own,raw_mean,fragfrac,0.10913763384497643,0.005575510375564935,0.738158074852393,0.029948361116480596,-0.16091403302533744,0.019414621284271034,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,zscale_mean,cellfrac,0.2099006399601212,0.003025798455608614,0.0756778736550843,0.02416040735667821,-0.017264965294301802,0.021519055962925446,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,zscale_mean,fragfrac,0.2201063338414119,0.002404595682496072,0.03944616806574026,0.015277392177544119,-0.10378353445289319,0.03162658016313272,Endothelial_stromal,1200.0,0
HCC,rawsum,common,cpm_mean,cellfrac,0.06663058666611046,0.007642367383264077,0.8847024675956333,0.023753510981910045,0.07418063422379774,0.006691636603862887,Endothelial_stromal,1200.0,0
HCC,rawsum,common,cpm_mean,fragfrac,0.05635146719190142,0.016879177611740088,0.9247695081948342,0.04544701404095281,-0.012337934934793668,0.004501775689746694,Endothelial_stromal,1200.0,0
HCC,rawsum,common,depth_matched,cellfrac,0.05848539763432061,0.004998799281575379,0.9112997631685612,0.012447250578165314,0.0651600096348306,0.0055682079633102635,Endothelial_stromal,1200.0,0
HCC,rawsum,common,depth_matched,fragfrac,0.04889181233605024,0.010321379096659974,0.9474777273303806,0.02400286797447572,-0.021358559523760798,0.008360882499166784,Endothelial_stromal,1200.0,0
HCC,rawsum,common,lognorm_mean,cellfrac,0.0693352764031564,0.0048385002567158525,0.8849037549003943,0.014571713111089388,0.06939600873695027,0.004780131733384467,Endothelial_stromal,1200.0,0
HCC,rawsum,common,lognorm_mean,fragfrac,0.0472904974624766,0.006619277253334951,0.9495076645166608,0.014142339724807877,-0.017122560421641134,0.00549206227674147,Endothelial_stromal,1200.0,0
HCC,rawsum,common,lognorm_mean_expm1,cellfrac,0.058777089980028306,0.005737665307181203,0.9106726606555592,0.014891158188997838,0.061625229768951136,0.004922379375895122,Endothelial_stromal,1200.0,0
HCC,rawsum,common,lognorm_mean_expm1,fragfrac,0.047453578198711745,0.007875459786680306,0.9508899959581392,0.01812277440677952,-0.02489333938964025,0.006361371183261053,Endothelial_stromal,1200.0,0
HCC,rawsum,common,pseudobulk_cpm,cellfrac,0.06283661242010972,0.0005683245492872929,0.9045354700056615,0.002347189770590486,0.07795492253442866,0.009171202915663307,Endothelial_stromal,1200.0,0
HCC,rawsum,common,pseudobulk_cpm,fragfrac,0.03167910634289305,0.009199518052321779,0.9770119263776706,0.013255618929609818,-0.008563646624162728,0.0017144595087157332,Endothelial_stromal,1200.0,0
HCC,rawsum,common,raw_mean,cellfrac,0.03861952061411893,0.007584788603282477,0.9616760609233622,0.013886449488758978,-0.015859406411287674,0.004195283126335919,Endothelial_stromal,1200.0,0
HCC,rawsum,common,raw_mean,fragfrac,0.07602971741705765,0.005376383850776599,0.8649270798378478,0.018869464283106614,-0.10237797556987908,0.007639887118651707,Endothelial_stromal,1200.0,0
HCC,rawsum,common,zscale_mean,cellfrac,0.1744501369469401,0.0016193103292754512,0.17529805708706095,0.024300172448067307,-0.0009322060732175168,0.020219480919491654,Endothelial_stromal,1200.0,0
HCC,rawsum,common,zscale_mean,fragfrac,0.1827094885335504,0.0028749692789650245,0.16051169799290313,0.01805397364657582,-0.08745077523180893,0.03034876802182432,Endothelial_stromal,1200.0,0
HCC,rawsum,own,cpm_mean,cellfrac,0.06663058666611046,0.007642367383264077,0.8847024675956333,0.023753510981910045,0.07418063422379774,0.006691636603862887,Endothelial_stromal,1200.0,0
HCC,rawsum,own,cpm_mean,fragfrac,0.05635146719190142,0.016879177611740088,0.9247695081948342,0.04544701404095281,-0.012337934934793668,0.004501775689746694,Endothelial_stromal,1200.0,0
HCC,rawsum,own,depth_matched,cellfrac,0.05776998726713845,0.005124625168157902,0.9133653966769185,0.012435177050892447,0.06404790694332987,0.007630802823253427,Endothelial_stromal,1200.0,0
HCC,rawsum,own,depth_matched,fragfrac,0.048876984593877966,0.010130737212880176,0.9485195762832216,0.024130784628007697,-0.022470662215261547,0.006859488383546361,Endothelial_stromal,1200.0,0
HCC,rawsum,own,lognorm_mean,cellfrac,0.0555826632992468,0.0022455284018081377,0.9222322813018237,0.0048106249010073454,0.07075254684259204,0.008703663816713834,Endothelial_stromal,1200.0,0
HCC,rawsum,own,lognorm_mean,fragfrac,0.03774154437681661,0.00888948947386818,0.968606418304928,0.014857633850410773,-0.01576602231599938,0.0034777391542412436,Endothelial_stromal,1200.0,0
HCC,rawsum,own,lognorm_mean_expm1,cellfrac,0.05300362793732483,0.0043413969105328765,0.9279616392605696,0.009171561254142374,0.06307653276980107,0.007403510131727025,Endothelial_stromal,1200.0,0
HCC,rawsum,own,lognorm_mean_expm1,fragfrac,0.04713141348670247,0.007121888898790297,0.9552786251599885,0.014959648141921193,-0.023442036388790343,0.002875629588372158,Endothelial_stromal,1200.0,0
HCC,rawsum,own,pseudobulk_cpm,cellfrac,0.06214561194562995,0.0035439192164432396,0.9070166265905281,0.007851813416957367,0.08033045693830393,0.012071472648914202,Endothelial_stromal,1200.0,0
HCC,rawsum,own,pseudobulk_cpm,fragfrac,0.026848389372282292,0.006138393561300445,0.9840542202777334,0.006544522537386031,-0.0061881122202874575,0.0061113383518092415,Endothelial_stromal,1200.0,0
HCC,rawsum,own,raw_mean,cellfrac,0.028375847158048473,0.002481272798653545,0.9799808442629327,0.002363756839836895,-0.015245355811207707,0.001908611790969279,Endothelial_stromal,1200.0,0
HCC,rawsum,own,raw_mean,fragfrac,0.06936676686476531,0.0014205511955951568,0.888833352305675,0.006235408657443615,-0.10176392496979912,0.00870332318069793,Endothelial_stromal,1200.0,0
HCC,rawsum,own,zscale_mean,cellfrac,0.20744759269419233,0.003510375601819016,0.07847724596621998,0.02492111695309595,-0.007299974738917875,0.020301593076401114,Endothelial_stromal,1200.0,0
HCC,rawsum,own,zscale_mean,fragfrac,0.21635825299841235,0.002963429037271017,0.05390815145908338,0.017094577888084536,-0.09381854389750928,0.03039290836066888,Endothelial_stromal,1200.0,0
LUAD,cellnorm,common,cpm_mean,cellfrac,0.028190542576296912,0.0030997879401039596,0.9806260430702233,0.0043497574833999,0.004417454622243407,0.0027272899687182614,T_NK,1200.0,0
LUAD,cellnorm,common,cpm_mean,fragfrac,0.0565427606617255,0.002272105205234031,0.9248480715115583,0.013789899448464182,-0.02397542420609915,0.0011919240986240363,T_NK,1200.0,0
LUAD,cellnorm,common,depth_matched,cellfrac,0.042536583952034496,0.0055905727441549116,0.9566086176993062,0.013573374976178788,-0.02196631197364014,0.0017060427936908208,T_NK,1200.0,0
LUAD,cellnorm,common,depth_matched,fragfrac,0.0831646344146332,0.005120535665734108,0.8405142904624116,0.030948831886489888,-0.0503591908019827,0.003425985134833465,T_NK,1200.0,0
LUAD,cellnorm,common,lognorm_mean,cellfrac,0.11539017768949937,0.025195500905902384,0.7587759273003122,0.10151507703014895,-0.02442513390739028,0.021243261480264217,T_NK,1200.0,0
LUAD,cellnorm,common,lognorm_mean,fragfrac,0.1536673957023937,0.020490078854297863,0.5694651056226893,0.10006884700717728,-0.052818012735732854,0.02107198665686604,T_NK,1200.0,0
LUAD,cellnorm,common,lognorm_mean_expm1,cellfrac,0.06786710313070947,0.007311821969978943,0.891996865116949,0.018152452331862683,-0.06716737625950407,0.011018975358625577,T_NK,1200.0,0
LUAD,cellnorm,common,lognorm_mean_expm1,fragfrac,0.10708201303476163,0.013684193142869125,0.7373114511993076,0.0638483322936531,-0.09556025508784662,0.01154615626146323,T_NK,1200.0,0
LUAD,cellnorm,common,pseudobulk_cpm,cellfrac,0.09998749288601709,0.011380317343979481,0.8216141248992098,0.05022875702539947,-0.1050207123453996,0.00850043775850302,T_NK,1200.0,0
