cohort,seed,cell_type,rank,gene
HCC,0,Endothelial_stromal,115,WASH9P
HCC,0,Endothelial_stromal,116,LINC01820
HCC,0,Endothelial_stromal,117,RP11-26H16.1
HCC,0,Endothelial_stromal,118,RP11-598C10.2
HCC,0,Endothelial_stromal,119,RP11-54O15.3
HCC,0,Endothelial_stromal,120,RNU7-73P
HCC,0,Endothelial_stromal,121,BNIP3P31
HCC,0,Endothelial_stromal,122,RP11-342I1.3
HCC,0,Endothelial_stromal,123,SSU72P2
HCC,0,Endothelial_stromal,124,ZCRB1P1
HCC,0,Endothelial_stromal,125,CCDC89
HCC,0,Endothelial_stromal,126,RP11-272L14.3
HCC,0,Endothelial_stromal,127,EDNRB
HCC,0,Endothelial_stromal,128,C1QTNF5
HCC,0,Endothelial_stromal,129,MIR505
HCC,0,Endothelial_stromal,130,MIR3197
HCC,0,Endothelial_stromal,131,CALHM5
HCC,0,Endothelial_stromal,132,RP11-112N19.1
HCC,0,Endothelial_stromal,133,LINC02705
HCC,0,Endothelial_stromal,134,TCF4-AS2
HCC,0,Endothelial_stromal,135,RP11-261P13.6
HCC,0,Endothelial_stromal,136,RNU6-525P
HCC,0,Endothelial_stromal,137,FAM72D
HCC,0,Endothelial_stromal,138,RP11-349F21.6
HCC,0,Endothelial_stromal,139,PRRG3
HCC,0,Endothelial_stromal,140,CAVIN2
HCC,0,Endothelial_stromal,141,RP11-495O10.1
HCC,0,Endothelial_stromal,142,RP11-96D24.1
HCC,0,Endothelial_stromal,143,LINC02452
HCC,0,Endothelial_stromal,144,RP11-539E19.2
HCC,0,Endothelial_stromal,145,RP11-120K24.5
HCC,0,Endothelial_stromal,146,RP13-122B23.14
HCC,0,Endothelial_stromal,147,PCNAP3
HCC,0,Endothelial_stromal,148,HOXA5
HCC,0,Endothelial_stromal,149,RP11-405F3.5
HCC,0,Endothelial_stromal,150,RN7SL810P
HCC,0,Endothelial_stromal,151,RP11-138A23.1
HCC,0,Endothelial_stromal,152,LINC01963
HCC,0,Endothelial_stromal,153,XXbac-BPG170G13.31
HCC,0,Endothelial_stromal,154,MYCT1
HCC,0,Endothelial_stromal,155,MIR8073
HCC,0,Endothelial_stromal,156,CH507-152C13.4
HCC,0,Endothelial_stromal,157,STC1
HCC,0,Endothelial_stromal,158,CTB-31C7.3
HCC,0,Endothelial_stromal,159,RP11-1228E12.2
HCC,0,Endothelial_stromal,160,RP11-274H24.4
HCC,0,Endothelial_stromal,161,RPL35AP14
HCC,0,Endothelial_stromal,162,RP11-421L21.2
HCC,0,Endothelial_stromal,163,RP11-1086F11.1
HCC,0,Endothelial_stromal,164,CTC-526N19.1
HCC,0,Endothelial_stromal,165,RP11-547J14.1
HCC,0,Endothelial_stromal,166,NID2
HCC,0,Endothelial_stromal,167,RNA5SP451
HCC,0,Endothelial_stromal,168,MIR7704
HCC,0,Endothelial_stromal,169,YBX1P5
HCC,0,Endothelial_stromal,170,ENSG10010138246.1
HCC,0,Endothelial_stromal,171,RP11-19J3.7
HCC,0,Endothelial_stromal,172,CTD-2145A24.5
HCC,0,Endothelial_stromal,173,SEC11B
HCC,0,Endothelial_stromal,174,VEZTP1
HCC,0,Endothelial_stromal,175,RP11-822P1.1
HCC,0,Endothelial_stromal,176,LA16c-380F5.1
HCC,0,Endothelial_stromal,177,HSFX2
HCC,0,Endothelial_stromal,178,SMIM7P1
HCC,0,Endothelial_stromal,179,HOXD1
HCC,0,Endothelial_stromal,180,RP11-73E6.2
HCC,0,Endothelial_stromal,181,RP4-778K6.1
HCC,0,Endothelial_stromal,182,FGF12-AS2
HCC,0,Endothelial_stromal,183,RP11-474I11.7
HCC,0,Endothelial_stromal,184,HSPB7
HCC,0,Endothelial_stromal,185,BTNL9
HCC,0,Endothelial_stromal,186,MFRP
HCC,0,Endothelial_stromal,187,RN7SL400P
HCC,0,Endothelial_stromal,188,RP11-104O19.4
HCC,0,Endothelial_stromal,189,GAPDHP14
HCC,0,Endothelial_stromal,190,CTD-2223O18.1
HCC,0,Endothelial_stromal,191,TRBV24OR9-2
HCC,0,Endothelial_stromal,192,RP11-724F15.2
HCC,0,Endothelial_stromal,193,RP1-40G4P.1
HCC,0,Endothelial_stromal,194,MTUS2-AS2
HCC,0,Endothelial_stromal,195,CDH5
HCC,0,Endothelial_stromal,196,PPIAP76
